Idpago,idpedido,nombreCLiente,totalPagar,fecha,tipo
3024,5817,P,6.72,05/09/2023,E
2323,9311,P,8.96,06/09/2023,E
9603,4841,P,5.6,06/09/2023,E
8747,2917,P,6.72,06/09/2023,E
8573,1098,P,6.72,06/09/2023,E
8719,7587,P,6.5,06/09/2023,E
2248,8777,P,6.72,06/09/2023,E
9346,5074,P,6.72,06/09/2023,E
5030,7173,P,5.6,06/09/2023,E
9777,7061,P,5.6,06/09/2023,E
2742,7268,P,6.72,06/09/2023,E
6269,6803,P,6.72,06/09/2023,E
4516,7838,P,6.72,06/09/2023,E
5074,4462,P,6.72,06/09/2023,E
1198,7617,P,6.72,06/09/2023,E
1547,7468,P,6.44,06/09/2023,E
5407,7605,P,5.6,06/09/2023,E
2028,3508,P,5.38,06/09/2023,E
2870,5546,P,5.04,06/09/2023,E
